transaction_id,timestamp,type,asset,quantity,price_usd,fee,note
EXC-1521,2024-02-04T04:09:16Z,TRANSFER_IN,MATIC,4558.48,,5.05937779,Received from user wallet
EXC-1162,2024-02-05T10:41:01Z,TRANSFER_OUT,DOT,48.3668,,0.04811612,Bridge transfer out
EXC-1122,2024-02-05T20:13:41Z,BUY,BTC,2.22367,63505.09,0.00174313,
EXC-1232,2024-02-05T23:49:56Z,BUY,SOL,13.7123,197.69,0.00417836,
EXC-1050,2024-02-06T05:17:02Z,TRANSFER_OUT,XRP,2551.77,,1.05560936,Sent to cold storage
EXC-1187,2024-02-06T13:58:03Z,BUY,SOL,34.3724,141.65,0.00844826,
EXC-1429,2024-02-06T14:59:30Z,BUY,SOL,44.1192,119.24,0.04712568,
EXC-1315,2024-02-07T10:03:13Z,WITHDRAWAL,DOT,41.3668,9.09,0.00997249,Bank withdrawal
EXC-1170,2024-02-08T23:03:07Z,TRANSFER_OUT,ADA,2244.75,,2.57715915,Bridge transfer out
EXC-1485,2024-02-09T06:19:10Z,CONVERSION,LINK,17.9359,17.84,0.00707392,Auto-conversion
EXC-1375,2024-02-10T01:51:57Z,SELL,ETH,0.0879,2754.88,4.64e-05,Stop-loss triggered
EXC-1413,2024-02-10T03:35:25Z,DEPOSIT,BTC,1.90025,54123.73,0.00072109,Wire transfer deposit
EXC-1208,2024-02-10T07:12:27Z,DEPOSIT,MATIC,3650.53,1.01,3.67166239,Fiat deposit via bank
EXC-1392,2024-02-11T12:28:29Z,TRANSFER_OUT,DOT,48.3439,,0.0240838,Bridge transfer out
EXC-1390,2024-02-12T20:23:48Z,BUY,MATIC,3523.09,1.01,2.72514866,
EXC-1237,2024-02-13T13:20:11Z,BUY,ETH,0.2949,2588.18,9.053e-05,
EXC-1052,2024-02-13T19:44:24Z,CONVERSION,SOL,37.0874,151.72,0.022218,Auto-conversion
EXC-1111,2024-02-14T16:22:09Z,BUY,AVAX,22.0794,29.61,0.004503,
EXC-1397,2024-02-15T01:40:20Z,TRANSFER_OUT,AVAX,16.0136,,0.00745076,Moved to DeFi wallet
EXC-1048,2024-02-15T04:52:23Z,DEPOSIT,XRP,4662.19,0.48,4.99802299,Wire transfer deposit
EXC-1127,2024-02-15T09:28:03Z,TRANSFER_OUT,BTC,1.13761,,0.00054633,Bridge transfer out
EXC-1324,2024-02-15T12:26:07Z,TRANSFER_IN,SOL,8.3104,,0.00870274,Incoming from cold storage
EXC-1259,2024-02-16T02:36:43Z,CONVERSION,BTC,1.83945,55969.41,0.00102335,Portfolio rebalance swap
EXC-1449,2024-02-16T18:17:22Z,BUY,DOT,5.8877,9.67,0.00122335,
EXC-1130,2024-02-17T12:46:23Z,BUY,XRP,2768.64,0.73,1.68893103,
EXC-1474,2024-02-17T13:01:35Z,SELL,LINK,12.5676,16.62,0.01249335,Profit taking
EXC-1120,2024-02-18T16:03:36Z,BUY,XRP,2995.47,0.7,3.34669531,
EXC-1266,2024-02-19T01:07:48Z,BUY,AVAX,26.3322,44.23,0.02671418,
EXC-1519,2024-02-19T09:08:19Z,BUY,AVAX,8.7267,49.61,0.01021699,
EXC-1024,2024-02-20T05:41:42Z,TRANSFER_OUT,ETH,14.67,,0.01040604,Sent to cold storage
EXC-1285,2024-02-20T08:13:46Z,SELL,ETH,5.8014,3010.64,0.00421965,
EXC-1043,2024-02-21T04:52:26Z,SELL,XRP,1061.08,0.66,0.42509014,Rebalancing
EXC-1045,2024-02-21T19:35:04Z,SELL,UNI,49.8052,6.59,0.01861778,Stop-loss triggered
EXC-1529,2024-02-22T13:33:49Z,BUY,AVAX,42.9259,42.12,0.05027144,
EXC-1381,2024-02-22T23:51:14Z,TRANSFER_OUT,AVAX,29.7309,,0.01056415,Sent to cold storage
EXC-1468,2024-02-23T05:39:15Z,DEPOSIT,MATIC,1624.39,0.74,0.3710461,Fiat deposit via bank
EXC-1303,2024-02-23T16:28:36Z,BUY,AVAX,10.7779,45.7,0.00468504,
EXC-1356,2024-02-23T18:30:50Z,BUY,ETH,14.1784,3402.79,0.01350572,
EXC-1337,2024-02-24T19:09:29Z,TRANSFER_OUT,DOT,22.0042,,0.01577146,Sent to cold storage
EXC-1194,2024-02-25T11:22:03Z,SELL,BTC,0.45433,44584.05,0.00038173,
EXC-1421,2024-02-25T14:08:08Z,TRANSFER_OUT,ADA,3819.29,,3.28476616,Bridge transfer out
EXC-1420,2024-02-27T04:05:15Z,BUY,XRP,4341.89,0.49,4.5997233,
EXC-1518,2024-02-27T15:18:42Z,TRANSFER_IN,LINK,40.0425,,0.03449308,Bridge transfer in
EXC-1072,2024-02-27T16:27:52Z,SELL,UNI,9.8023,11.57,0.00655868,Profit taking
EXC-1293,2024-02-27T18:22:09Z,BUY,BTC,1.45922,45456.39,0.00118266,
EXC-1112,2024-02-28T07:37:20Z,DEPOSIT,DOT,24.6382,9.46,0.02145429,Fiat deposit via bank
EXC-1523,2024-02-28T11:46:03Z,TRANSFER_OUT,UNI,26.1758,,0.01545873,Bridge transfer out
EXC-1544,2024-02-28T14:26:32Z,WITHDRAWAL,XRP,3297.79,0.74,2.75048809,Fiat withdrawal
EXC-1461,2024-02-28T20:22:49Z,SELL,AVAX,49.8896,44.4,0.04585286,Profit taking
EXC-1139,2024-02-29T10:43:27Z,TRANSFER_OUT,DOT,19.3653,,0.01639995,Moved to DeFi wallet
EXC-1016,2024-02-29T17:35:03Z,BUY,SOL,25.5254,91.82,0.00509161,
EXC-1509,2024-03-01T00:33:43Z,BUY,ADA,524.78,0.6,0.38159155,
EXC-1224,2024-03-01T13:11:37Z,BUY,ADA,1741.58,0.78,0.6123491,
EXC-1116,2024-03-02T03:59:23Z,BUY,ADA,1360.0,0.44,0.54652747,
EXC-1318,2024-03-03T09:40:07Z,TRANSFER_IN,ADA,357.52,,0.09800913,Incoming from cold storage
EXC-1505,2024-03-03T20:44:18Z,BUY,XRP,4760.73,0.47,1.56442569,
EXC-1430,2024-03-05T15:48:20Z,TRANSFER_IN,XRP,457.98,,0.38824533,Bridge transfer in
EXC-1416,2024-03-05T20:03:38Z,DEPOSIT,UNI,34.4878,12.89,0.02727209,Wire transfer deposit
EXC-1035,2024-03-05T23:07:54Z,TRANSFER_IN,LINK,41.8178,,0.04882003,Received from user wallet
EXC-1252,2024-03-06T02:14:30Z,BUY,MATIC,3321.55,0.75,2.59995226,
EXC-1450,2024-03-06T05:12:27Z,BUY,SOL,35.1048,101.3,0.04039394,
EXC-1487,2024-03-09T18:22:27Z,CONVERSION,ADA,2899.68,0.89,1.61756807,Auto-conversion
EXC-1209,2024-03-10T04:07:17Z,BUY,ADA,908.82,0.48,0.86075251,
EXC-1535,2024-03-10T08:11:59Z,STAKING_REWARD,BTC,0.6056,,0.00040165,SOL staking reward
EXC-1455,2024-03-10T21:02:12Z,WITHDRAWAL,BTC,0.61213,55096.47,0.00033797,Fiat withdrawal
EXC-1366,2024-03-11T00:42:18Z,SELL,XRP,280.48,0.47,0.31466043,
EXC-1483,2024-03-11T05:00:19Z,SELL,AVAX,17.2673,39.14,0.008421,Stop-loss triggered
EXC-1033,2024-03-12T15:13:56Z,SELL,ETH,3.7374,2542.38,0.00232109,Rebalancing
EXC-1372,2024-03-13T12:12:07Z,BUY,AVAX,24.5811,33.9,0.02797821,
EXC-1530,2024-03-14T08:41:15Z,BUY,AVAX,38.7241,33.02,0.03544182,
EXC-1106,2024-03-16T04:00:56Z,TRANSFER_OUT,XRP,1567.78,,0.61467158,Moved to DeFi wallet
EXC-1270,2024-03-17T14:39:59Z,STAKING_REWARD,LINK,44.7568,,0.04646787,SOL staking reward
EXC-1510,2024-03-18T22:06:14Z,BUY,BTC,1.06959,49425.58,0.00090393,
EXC-1260,2024-03-19T02:47:50Z,BUY,XRP,3534.99,0.51,2.80137721,
EXC-1491,2024-03-19T14:47:02Z,TRANSFER_IN,BTC,1.31659,,0.00019843,Bridge transfer in
EXC-1323,2024-03-19T21:14:15Z,STAKING_REWARD,ETH,0.9358,,0.00067848,ADA staking payout
EXC-1049,2024-03-20T10:39:52Z,WITHDRAWAL,LINK,7.8569,14.82,0.00291618,Wire transfer out
EXC-1440,2024-03-21T03:53:34Z,TRANSFER_IN,BTC,2.11988,,0.00178351,Incoming from cold storage
EXC-1415,2024-03-22T21:12:22Z,SELL,ETH,6.5917,3989.12,0.00635712,Profit taking
EXC-1013,2024-03-23T22:49:22Z,BUY,XRP,377.63,0.72,0.28153791,
EXC-1471,2024-03-24T21:08:20Z,BUY,SOL,40.3991,119.55,0.03595278,
EXC-1003,2024-03-26T23:39:19Z,SELL,BTC,1.40355,62912.63,0.00124409,Rebalancing
EXC-1498,2024-03-27T03:53:34Z,CONVERSION,UNI,1.7159,10.82,0.00191681,Portfolio rebalance swap
EXC-1059,2024-03-27T22:47:53Z,STAKING_REWARD,MATIC,1560.69,,1.53745566,ETH2 staking reward
EXC-1539,2024-03-28T06:41:16Z,BUY,BTC,1.18577,44234.05,0.00039351,
EXC-1027,2024-03-28T15:19:51Z,TRANSFER_IN,AVAX,44.9907,,0.02807692,Received from user wallet
EXC-1352,2024-03-30T16:55:44Z,BUY,UNI,28.9992,9.34,0.00899068,
EXC-1490,2024-03-31T17:12:24Z,CONVERSION,AVAX,27.152,29.39,0.00515513,Auto-conversion
EXC-1002,2024-03-31T17:33:24Z,BUY,LINK,4.4382,16.22,0.00080459,
EXC-1078,2024-04-01T10:38:18Z,DEPOSIT,AVAX,31.3747,31.86,0.00725877,Wire transfer deposit
EXC-1316,2024-04-01T20:13:01Z,BUY,SOL,23.925,201.66,0.00376033,
EXC-1338,2024-04-02T09:06:20Z,SELL,XRP,1209.1,0.72,0.91276876,Stop-loss triggered
EXC-1335,2024-04-03T20:10:20Z,TRANSFER_IN,UNI,38.3261,,0.04131341,Received from user wallet
EXC-1360,2024-04-03T22:59:32Z,STAKING_REWARD,SOL,5.4401,,0.00136617,ETH2 staking reward
EXC-1094,2024-04-04T16:31:13Z,STAKING_REWARD,ADA,426.18,,0.37296935,ADA staking payout
EXC-1030,2024-04-04T17:53:54Z,SELL,XRP,3361.44,0.51,0.97121226,Rebalancing
EXC-1336,2024-04-05T10:05:15Z,BUY,ETH,8.9132,3003.59,0.00762636,
EXC-1041,2024-04-05T23:53:36Z,TRANSFER_IN,ADA,2048.69,,2.332794,Bridge transfer in
EXC-1380,2024-04-06T03:23:09Z,BUY,XRP,2134.46,0.6,0.49256385,
EXC-1216,2024-04-06T14:08:19Z,SELL,MATIC,4912.81,0.64,4.06993612,
EXC-1278,2024-04-06T15:46:17Z,SELL,LINK,5.3986,14.42,0.00150431,Rebalancing
EXC-1258,2024-04-07T07:32:57Z,SELL,ETH,8.6131,3153.03,0.00489169,Stop-loss triggered
EXC-1219,2024-04-08T05:46:15Z,DEPOSIT,MATIC,376.26,0.65,0.32444836,Wire transfer deposit
EXC-1247,2024-04-08T18:03:19Z,STAKING_REWARD,LINK,19.9714,,0.02009475,SOL staking reward
EXC-1063,2024-04-09T07:11:09Z,SELL,MATIC,2210.15,1.09,0.59989676,Profit taking
EXC-1453,2024-04-09T10:51:15Z,SELL,MATIC,324.42,1.03,0.10550964,Profit taking
EXC-1317,2024-04-11T22:51:07Z,SELL,XRP,4772.47,0.54,4.33830244,
EXC-1414,2024-04-12T10:36:55Z,TRANSFER_OUT,ADA,1523.66,,1.82729238,Bridge transfer out
EXC-1513,2024-04-12T16:04:24Z,BUY,DOT,18.5331,8.67,0.00790364,
EXC-1014,2024-04-13T05:51:43Z,TRANSFER_IN,DOT,44.2457,,0.03650246,Received from user wallet
EXC-1057,2024-04-13T23:48:34Z,SELL,SOL,36.8546,123.18,0.04154828,Profit taking
EXC-1248,2024-04-16T11:33:48Z,BUY,ADA,1466.25,0.83,0.2935348,
EXC-1171,2024-04-17T12:24:05Z,CONVERSION,MATIC,2745.11,1.09,1.44559561,Dust conversion
EXC-1107,2024-04-17T18:09:47Z,BUY,LINK,47.5488,18.9,0.01669524,
EXC-1446,2024-04-18T03:11:12Z,BUY,LINK,38.3788,16.24,0.02196769,
EXC-1087,2024-04-18T10:32:22Z,BUY,MATIC,1097.72,0.76,1.04205593,
EXC-1099,2024-04-18T16:47:58Z,SELL,UNI,13.4929,12.81,0.01379335,
EXC-1101,2024-04-18T23:36:21Z,SELL,MATIC,950.11,0.71,0.93844643,Stop-loss triggered
EXC-1135,2024-04-20T05:15:01Z,BUY,DOT,17.0598,10.73,0.00734478,
EXC-1231,2024-04-21T01:58:47Z,BUY,AVAX,43.7184,38.86,0.01126707,
EXC-1189,2024-04-22T01:54:01Z,BUY,MATIC,4374.36,1.07,2.59873597,
EXC-1504,2024-04-24T21:44:51Z,TRANSFER_OUT,ADA,855.15,,0.19445671,Sent to cold storage
EXC-1108,2024-04-25T10:13:01Z,TRANSFER_OUT,LINK,29.8799,,0.03524442,Sent to cold storage
EXC-1275,2024-04-25T21:17:04Z,SELL,LINK,14.5546,21.57,0.00956371,Rebalancing
EXC-1542,2024-04-26T06:59:50Z,BUY,LINK,49.9715,21.66,0.05153797,
EXC-1298,2024-04-26T07:12:49Z,DEPOSIT,XRP,3069.88,0.51,1.25510537,SEPA deposit
EXC-1346,2024-04-28T02:55:01Z,BUY,UNI,36.2428,10.47,0.02367974,
EXC-1166,2024-04-28T13:53:00Z,TRANSFER_OUT,DOT,5.9221,,0.00117029,Sent to cold storage
EXC-1405,2024-04-28T23:20:52Z,TRANSFER_IN,ETH,10.0849,,0.0048291,Received from user wallet
EXC-1511,2024-04-30T03:03:43Z,BUY,ADA,895.62,0.55,0.21139579,
EXC-1212,2024-04-30T22:12:39Z,SELL,XRP,3991.83,0.63,2.0739127,
EXC-1528,2024-05-01T03:15:27Z,BUY,AVAX,46.0497,47.43,0.00788576,
EXC-1092,2024-05-01T04:05:34Z,SELL,UNI,30.4016,11.98,0.00821632,Profit taking
EXC-1438,2024-05-02T12:23:11Z,WITHDRAWAL,SOL,37.647,156.64,0.02082758,Wire transfer out
EXC-1246,2024-05-02T22:33:58Z,BUY,AVAX,1.9455,30.04,0.00190788,
EXC-1374,2024-05-03T08:39:18Z,BUY,XRP,813.39,0.66,0.66339757,
EXC-1299,2024-05-03T12:02:02Z,BUY,XRP,3867.31,0.66,3.3829368,
EXC-1138,2024-05-03T22:37:05Z,BUY,ADA,2880.4,0.52,2.77763222,
EXC-1251,2024-05-05T02:54:27Z,BUY,DOT,4.0385,9.61,0.00409285,
EXC-1181,2024-05-05T11:17:59Z,TRANSFER_OUT,AVAX,35.6488,,0.02195041,Sent to cold storage
EXC-1204,2024-05-06T12:03:31Z,SELL,DOT,35.504,8.51,0.00961917,
EXC-1543,2024-05-06T15:29:49Z,TRANSFER_OUT,AVAX,3.2855,,0.00390245,Moved to DeFi wallet
EXC-1158,2024-05-07T06:14:34Z,BUY,AVAX,1.7649,34.12,0.00050826,
EXC-1288,2024-05-07T17:51:47Z,SELL,AVAX,26.0147,28.72,0.02829849,Profit taking
EXC-1174,2024-05-07T23:23:49Z,SELL,ETH,12.449,3197.57,0.00953223,Profit taking
EXC-1462,2024-05-10T11:35:17Z,BUY,DOT,1.2931,9.25,0.00105742,
EXC-1142,2024-05-11T20:37:09Z,TRANSFER_IN,SOL,3.8339,,0.00372119,Incoming from cold storage
EXC-1249,2024-05-12T01:03:01Z,BUY,MATIC,2212.91,0.8,1.35368897,
EXC-1004,2024-05-12T12:21:52Z,SELL,XRP,4056.68,0.45,4.04090038,Rebalancing
EXC-1547,2024-05-13T15:32:55Z,SELL,DOT,36.8629,9.5,0.04403242,Profit taking
EXC-1198,2024-05-14T10:14:39Z,SELL,UNI,22.158,8.19,0.02088813,
EXC-1269,2024-05-14T18:10:07Z,BUY,SOL,15.2758,101.06,0.01728418,
EXC-1095,2024-05-15T05:10:25Z,BUY,XRP,4258.95,0.63,1.18018834,
EXC-1395,2024-05-15T15:39:30Z,SELL,XRP,2109.08,0.74,0.5734015,Profit taking
EXC-1417,2024-05-16T14:50:14Z,TRANSFER_IN,ADA,4076.97,,4.05949006,Bridge transfer in
EXC-1060,2024-05-16T17:55:08Z,BUY,ADA,2022.41,0.54,0.45077859,
EXC-1105,2024-05-17T00:06:42Z,SELL,LINK,26.593,16.26,0.02481744,Stop-loss triggered
EXC-1005,2024-05-19T18:55:49Z,BUY,ADA,4788.2,0.57,1.18451993,
EXC-1349,2024-05-20T01:07:50Z,SELL,XRP,1934.28,0.61,1.019796,Stop-loss triggered
EXC-1442,2024-05-20T14:40:45Z,SELL,ADA,2522.93,0.7,1.77791085,
EXC-1015,2024-05-20T23:03:05Z,BUY,LINK,26.995,19.47,0.0161931,
EXC-1284,2024-05-21T03:57:59Z,BUY,MATIC,3831.09,0.78,2.18606095,
EXC-1223,2024-05-21T04:39:18Z,BUY,LINK,4.7633,18.7,0.00325768,
EXC-1064,2024-05-21T19:47:24Z,BUY,DOT,0.1844,11.55,0.00013192,
EXC-1443,2024-05-22T06:53:27Z,STAKING_REWARD,SOL,19.4032,,0.02000319,SOL staking reward
EXC-1256,2024-05-22T15:25:43Z,TRANSFER_IN,AVAX,1.8365,,0.00040512,Bridge transfer in
EXC-1009,2024-05-24T03:20:12Z,BUY,ETH,5.7081,3016.14,0.00585546,
EXC-1167,2024-05-24T11:04:40Z,CONVERSION,ETH,1.4669,3797.07,0.00042899,Dust conversion
EXC-1257,2024-05-24T20:24:57Z,SELL,UNI,1.716,7.23,0.00106807,Stop-loss triggered
EXC-1217,2024-05-25T04:13:56Z,TRANSFER_OUT,AVAX,26.251,,0.02074605,Bridge transfer out
EXC-1361,2024-05-25T06:05:33Z,BUY,LINK,12.6957,15.54,0.01250124,
EXC-1357,2024-05-25T07:28:57Z,DEPOSIT,ADA,386.44,0.48,0.14671413,Wire transfer deposit
EXC-1242,2024-05-25T08:25:49Z,SELL,LINK,27.7522,15.9,0.01786248,Rebalancing
EXC-1329,2024-05-25T19:13:43Z,SELL,XRP,2073.89,0.68,1.97873799,Rebalancing
EXC-1496,2024-05-27T07:47:43Z,WITHDRAWAL,UNI,39.3709,7.79,0.03025251,Fiat withdrawal
EXC-1201,2024-05-28T00:47:24Z,BUY,MATIC,643.92,0.85,0.38776074,
EXC-1152,2024-05-28T11:34:22Z,BUY,XRP,1036.12,0.57,0.68111261,
EXC-1525,2024-05-29T03:13:26Z,DEPOSIT,XRP,4344.0,0.71,4.65584812,Wire transfer deposit
EXC-1512,2024-05-30T21:00:52Z,DEPOSIT,AVAX,24.5059,41.53,0.00602095,SEPA deposit
EXC-1447,2024-06-01T02:52:53Z,BUY,ETH,7.6745,2565.76,0.0076627,
EXC-1331,2024-06-02T00:34:19Z,CONVERSION,LINK,6.7362,20.6,0.00184952,Portfolio rebalance swap
EXC-1281,2024-06-02T02:16:58Z,BUY,LINK,23.3941,20.79,0.01572642,
EXC-1093,2024-06-03T10:05:14Z,BUY,BTC,2.32229,58425.5,0.00256248,
EXC-1202,2024-06-03T13:58:17Z,SELL,ADA,2526.3,0.82,2.51748371,
EXC-1458,2024-06-05T01:53:25Z,SELL,LINK,33.699,12.53,0.01295202,
EXC-1526,2024-06-05T20:59:22Z,TRANSFER_IN,UNI,30.4872,,0.00577241,Incoming from cold storage
EXC-1469,2024-06-07T05:58:17Z,DEPOSIT,UNI,5.5377,6.85,0.0034447,Wire transfer deposit
EXC-1409,2024-06-08T06:24:30Z,SELL,BTC,1.21204,46244.11,0.00067043,Rebalancing
EXC-1031,2024-06-09T00:45:03Z,DEPOSIT,DOT,9.6015,6.58,0.0057859,Wire transfer deposit
EXC-1185,2024-06-10T02:01:19Z,WITHDRAWAL,LINK,36.0699,14.15,0.0225124,Fiat withdrawal
EXC-1233,2024-06-10T12:07:10Z,STAKING_REWARD,ADA,4092.68,,4.41543391,ETH2 staking reward
EXC-1463,2024-06-12T09:58:02Z,BUY,DOT,42.4654,10.36,0.01100476,
EXC-1195,2024-06-12T10:07:20Z,TRANSFER_OUT,BTC,0.2303,,0.00016282,Bridge transfer out
EXC-1066,2024-06-12T15:50:37Z,BUY,DOT,16.3765,10.18,0.01198978,
EXC-1177,2024-06-12T20:38:12Z,DEPOSIT,UNI,16.2562,7.39,0.00333283,SEPA deposit
EXC-1025,2024-06-13T16:55:53Z,TRANSFER_IN,LINK,8.3398,,0.0058717,Bridge transfer in
EXC-1118,2024-06-14T11:34:56Z,BUY,AVAX,3.6519,30.84,0.00156222,
EXC-1180,2024-06-14T22:09:29Z,TRANSFER_IN,BTC,0.153,,9.99e-05,Incoming from cold storage
EXC-1428,2024-06-15T12:22:42Z,DEPOSIT,BTC,0.31147,67444.85,0.00019104,Fiat deposit via bank
EXC-1053,2024-06-16T06:54:09Z,BUY,SOL,27.325,188.5,0.02081168,
EXC-1466,2024-06-18T07:20:03Z,BUY,SOL,31.8971,131.27,0.02460831,
EXC-1097,2024-06-18T12:02:03Z,SELL,DOT,48.0433,9.81,0.04901102,Profit taking
EXC-1121,2024-06-19T09:12:30Z,SELL,XRP,3513.68,0.73,2.37347603,Rebalancing
EXC-1396,2024-06-19T13:00:09Z,BUY,AVAX,39.2351,38.03,0.02023414,
EXC-1046,2024-06-19T13:10:34Z,STAKING_REWARD,ETH,13.1903,,0.00709643,ETH2 staking reward
EXC-1382,2024-06-20T08:10:30Z,BUY,DOT,16.6776,9.72,0.01658221,
EXC-1294,2024-06-20T15:46:38Z,DEPOSIT,ADA,206.27,0.87,0.05474206,Fiat deposit via bank
EXC-1476,2024-06-21T14:04:46Z,TRANSFER_IN,ETH,0.3368,,7.332e-05,Bridge transfer in
EXC-1393,2024-06-22T11:57:26Z,BUY,XRP,1148.91,0.67,0.84547493,
EXC-1136,2024-06-22T19:07:24Z,TRANSFER_OUT,UNI,29.0382,,0.0244774,Sent to cold storage
EXC-1500,2024-06-22T19:53:33Z,BUY,MATIC,881.04,1.04,0.21423572,
EXC-1103,2024-06-23T10:17:22Z,SELL,LINK,37.9324,18.91,0.03141554,Rebalancing
EXC-1178,2024-06-24T21:59:45Z,SELL,ETH,7.1489,3600.43,0.00492488,
EXC-1311,2024-06-25T19:50:25Z,BUY,XRP,2861.41,0.48,3.38259747,
EXC-1423,2024-06-25T23:04:14Z,DEPOSIT,ETH,6.0487,3549.64,0.00531946,Wire transfer deposit
EXC-1071,2024-06-26T05:47:10Z,BUY,ADA,779.4,0.42,0.92213372,
EXC-1238,2024-06-26T21:36:27Z,DEPOSIT,ADA,1540.7,0.42,0.91027148,SEPA deposit
EXC-1179,2024-06-27T06:15:56Z,SELL,UNI,2.2639,12.27,0.00240048,Stop-loss triggered
EXC-1333,2024-06-28T06:20:19Z,TRANSFER_OUT,DOT,26.6435,,0.02703059,Sent to cold storage
