"category","reason","user_txId","user_timestamp","user_asset","user_quantity","user_type","exchange_txId","exchange_timestamp","exchange_asset","exchange_quantity","exchange_type"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"BTC",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"ETH",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"BTC",,"SELL"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"ETH",,"TRANSFER_IN"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"BTC",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"USDT",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"ETH",,"SELL"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"SOL",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"BTC",,"TRANSFER_IN"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"ETH",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"SOL",,"SELL"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"BTC",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"MATIC",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"USDT",,"SELL"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"ETH",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"SOL",,"TRANSFER_IN"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"BTC",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"ETH",,"SELL"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"BTC",,"SELL"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"ETH",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"LINK",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"MATIC",,"SELL"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"BTC",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"ETH",,"BUY"
"Unmatched (Exchange only)","Missing required fields (txId, asset, or type)","N/A","N/A","N/A","N/A","N/A","UNKNOWN",,"BTC",,"SELL"
